USER	INPUT_FILE	#PWS	DURATION	RUNNING_HOST	START_TIME	END_TIME
jessicacheng	Microgastrine_abbrev	1	0.562436103821	JessicatekiMacBook-Air.local	2020-07-27-21:22:25	2020-07-27-21:22:25
jessicacheng	Microgastrine_test	0	213.509045124	JessicatekiMacBook-Air.local	2020-07-27-21:22:41	2020-07-27-21:26:14
jessicacheng	Microgastrine_2020-2003	0	124.066891193	JessicatekiMacBook-Air.local	2020-08-30-16:52:30	2020-08-30-16:54:34
jessicacheng	Microgastrine_2020-2003-part1	1	0.511222839355	JessicatekiMacBook-Air.local	2020-08-30-16:58:58	2020-08-30-16:58:59
jessicacheng	Microgastrine_2020-2003-part2	1	1.28388404846	JessicatekiMacBook-Air.local	2020-08-30-17:03:50	2020-08-30-17:03:51
jessicacheng	Microgastrine_2020-2003-part3	1	8.04270195961	JessicatekiMacBook-Air.local	2020-08-30-17:09:12	2020-08-30-17:09:20
jessicacheng	Microgastrine_2020-2003-part1	2	0.641204118729	JessicatekiMacBook-Air.local	2020-09-04-13:50:30	2020-09-04-13:50:31
jessicacheng	Microgastrine_2020-2003-part2	2	1.45857000351	JessicatekiMacBook-Air.local	2020-09-04-13:50:58	2020-09-04-13:50:59
jessicacheng	Microgastrine_2020-2003-part3	1	9.95687580109	JessicatekiMacBook-Air.local	2020-09-04-13:51:19	2020-09-04-13:51:29
jessicacheng	Microgastrine_2020-2003-part1	1	0.50860786438	JessicatekiMacBook-Air.local	2020-09-04-13:53:55	2020-09-04-13:53:55
jessicacheng	Microgastrine_2020-2003-part2	1	1.46345710754	JessicatekiMacBook-Air.local	2020-09-04-13:54:45	2020-09-04-13:54:46
jessicacheng	Microgastrine_2020-2003-part3	1	11.0120680332	JessicatekiMacBook-Air.local	2020-09-04-14:03:29	2020-09-04-14:03:40
jessicacheng	Microgastrine_2020-2003-part1	2	1.62194299698	JessicatekiMacBook-Air.local	2020-09-04-14:33:28	2020-09-04-14:33:30
jessicacheng	Microgastrine_2020-2003-part1	2	0.442924976349	JessicatekiMacBook-Air.local	2020-09-04-14:38:59	2020-09-04-14:39:00
jessicacheng	Microgastrine_2020-2003-part2	2	1.16503787041	JessicatekiMacBook-Air.local	2020-09-04-14:39:19	2020-09-04-14:39:20
jessicacheng	Microgastrine_2020-2003-part3	1	7.22734594345	JessicatekiMacBook-Air.local	2020-09-04-14:39:43	2020-09-04-14:39:50
jessicacheng	Microgastrine_2020-2018-part1	2	18.1954789162	JessicatekiMacBook-Air.local	2020-09-04-15:38:49	2020-09-04-15:39:07
jessicacheng	Microgastrine_2020-2018-part2	1	3.98431396484	JessicatekiMacBook-Air.local	2020-09-04-15:39:46	2020-09-04-15:39:50
jessicacheng	Microgastrine_2020-2018-part2	1	3.9249958992	JessicatekiMacBook-Air.local	2020-09-04-16:01:18	2020-09-04-16:01:22
jessicacheng	Microgastrine_2020-1981-part1	1	11.3379530907	JessicatekiMacBook-Air.local	2020-09-14-09:57:43	2020-09-14-09:57:55
jessicacheng	Microgastrine_2020-1981-part2	1	5.10490202904	JessicatekiMacBook-Air.local	2020-09-14-10:01:23	2020-09-14-10:01:28
jessicacheng	Microgastrine_2020-1965-full	0	78.585588932	JessicatekiMacBook-Air.local	2020-09-14-10:43:30	2020-09-14-10:44:49
jessicacheng	Microgastrine_2020-1965-part1	8	1.83278298378	JessicatekiMacBook-Air.local	2020-09-14-10:49:29	2020-09-14-10:49:31
jessicacheng	Microgastrine_2020-1965-part1	1	1.87922286987	wirelessprv-10-194-206-240.near.illinois.edu	2020-09-21-10:43:29	2020-09-21-10:43:31
jessicacheng	Microgastrine_2020-1965-part2	0	11.5736308098	wirelessprv-10-194-206-240.near.illinois.edu	2020-09-21-10:44:44	2020-09-21-10:44:56
jessicacheng	Microgastrine_2020-1965-part2	0	12.1693899632	wirelessprv-10-194-206-240.near.illinois.edu	2020-09-21-10:46:12	2020-09-21-10:46:24
jessicacheng	Microgastrine_2020-1965-part2	1	12.5780799389	wirelessprv-10-194-206-240.near.illinois.edu	2020-09-21-10:51:21	2020-09-21-10:51:33
jessicacheng	Microgastrine_2020-pre1964-part1	225	5.76789093018	wirelessprv-10-194-206-240.near.illinois.edu	2020-09-21-11:37:15	2020-09-21-11:37:21
jessicacheng	Microgastrine_2020-pre1964-part2	1	15.7781600952	wirelessprv-10-194-206-240.near.illinois.edu	2020-09-21-11:39:14	2020-09-21-11:39:29
